
   t          f(t)        Pn(t)       Er(t)
2.840000     0.517978    0.454132   0.123260
2.846283     0.513926    0.449183   0.125977
2.852566     0.509919    0.444297   0.128692
2.858849     0.505958    0.439473   0.131403
2.865133     0.502040    0.434711   0.134111
2.871416     0.498166    0.430010   0.136814
2.877699     0.494336    0.425371   0.139510
2.883982     0.490549    0.420793   0.142200
2.890265     0.486804    0.416276   0.144881
2.896548     0.483102    0.411819   0.147552
2.902832     0.479442    0.407423   0.150213
2.909115     0.475823    0.403087   0.152863
2.915398     0.472246    0.398812   0.155499
2.921681     0.468709    0.394596   0.158122
2.927964     0.465212    0.390439   0.160730
2.934248     0.461756    0.386342   0.163321
2.940531     0.458340    0.382303   0.165895
2.946814     0.454962    0.378324   0.168450
2.953097     0.451624    0.374403   0.170985
2.959380     0.448324    0.370540   0.173499
2.965663     0.445062    0.366735   0.175991
2.971947     0.441838    0.362988   0.178460
2.978230     0.438652    0.359298   0.180904
2.984513     0.435503    0.355666   0.183322
2.990796     0.432391    0.352090   0.185713
2.997079     0.429315    0.348571   0.188075
3.003363     0.426275    0.345109   0.190408
3.009646     0.423271    0.341702   0.192710
3.015929     0.420302    0.338352   0.194980
3.022212     0.417369    0.335056   0.197217
3.028495     0.414470    0.331817   0.199419
3.034779     0.411606    0.328632   0.201586
3.041062     0.408775    0.325501   0.203716
3.047345     0.405979    0.322426   0.205807
3.053628     0.403216    0.319404   0.207859
3.059911     0.400486    0.316436   0.209870
3.066194     0.397790    0.313522   0.211840
3.072478     0.395125    0.310661   0.213766
3.078761     0.392493    0.307853   0.215648
3.085044     0.389893    0.305097   0.217485
3.091327     0.387324    0.302394   0.219275
3.097610     0.384787    0.299743   0.221016
3.103894     0.382281    0.297144   0.222709
3.110177     0.379806    0.294596   0.224351
3.116460     0.377361    0.292099   0.225942
3.122743     0.374946    0.289653   0.227481
3.129026     0.372561    0.287257   0.228965
3.135309     0.370205    0.284912   0.230395
3.141593     0.367879    0.282617   0.231768
3.147876     0.365582    0.280371   0.233084
3.154159     0.363314    0.278174   0.234342
3.160442     0.361075    0.276027   0.235541
3.166725     0.358863    0.273928   0.236679
3.173009     0.356680    0.271877   0.237756
3.179292     0.354524    0.269874   0.238770
3.185575     0.352396    0.267919   0.239720
3.191858     0.350294    0.266011   0.240606
3.198141     0.348220    0.264151   0.241426
3.204425     0.346173    0.262337   0.242180
3.210708     0.344152    0.260569   0.242866
3.216991     0.342157    0.258847   0.243483
3.223274     0.340188    0.257171   0.244032
3.229557     0.338245    0.255541   0.244510
3.235840     0.336327    0.253955   0.244916
3.242124     0.334435    0.252414   0.245251
3.248407     0.332568    0.250918   0.245513
3.254690     0.330725    0.249466   0.245701
3.260973     0.328907    0.248057   0.245815
3.267256     0.327114    0.246691   0.245854
3.273540     0.325344    0.245369   0.245817
3.279823     0.323599    0.244089   0.245703
3.286106     0.321877    0.242852   0.245512
3.292389     0.320178    0.241657   0.245243
3.298672     0.318503    0.240503   0.244896
3.304955     0.316851    0.239391   0.244469
3.311239     0.315222    0.238319   0.243963
3.317522     0.313616    0.237289   0.243377
3.323805     0.312032    0.236298   0.242710
3.330088     0.310470    0.235348   0.241962
3.336371     0.308930    0.234437   0.241133
3.342655     0.307412    0.233565   0.240221
3.348938     0.305916    0.232733   0.239228
3.355221     0.304442    0.231939   0.238151
3.361504     0.302989    0.231183   0.236992
3.367787     0.301557    0.230465   0.235749
3.374071     0.300145    0.229784   0.234423
3.380354     0.298755    0.229141   0.233014
3.386637     0.297386    0.228535   0.231521
3.392920     0.296036    0.227965   0.229944
3.399203     0.294707    0.227431   0.228283
3.405486     0.293399    0.226933   0.226537
3.411770     0.292110    0.226470   0.224708
3.418053     0.290841    0.226043   0.222795
3.424336     0.289591    0.225650   0.220798
3.430619     0.288361    0.225292   0.218718
3.436902     0.287151    0.224967   0.216553
3.443186     0.285959    0.224677   0.214305
3.449469     0.284787    0.224419   0.211974
3.455752     0.283633    0.224195   0.209560
3.462035     0.282498    0.224003   0.207063
3.468318     0.281382    0.223844   0.204484
3.474601     0.280284    0.223716   0.201823
3.480885     0.279205    0.223621   0.199080
3.487168     0.278143    0.223556   0.196256
3.493451     0.277100    0.223522   0.193352
3.499734     0.276075    0.223519   0.190367
3.506017     0.275067    0.223546   0.187303
3.512301     0.274077    0.223603   0.184160
3.518584     0.273104    0.223689   0.180939
3.524867     0.272149    0.223805   0.177640
3.531150     0.271212    0.223949   0.174265
3.537433     0.270291    0.224122   0.170813
3.543717     0.269387    0.224322   0.167286
3.550000     0.268500    0.224551   0.163685
3.556283     0.267631    0.224807   0.160010
3.562566     0.266777    0.225090   0.156263
3.568849     0.265941    0.225400   0.152444
3.575132     0.265121    0.225736   0.148555
3.581416     0.264317    0.226098   0.144595
3.587699     0.263529    0.226486   0.140568
3.593982     0.262758    0.226899   0.136473
3.600265     0.262003    0.227337   0.132311
3.606548     0.261264    0.227800   0.128085
3.612832     0.260540    0.228287   0.123794
3.619115     0.259833    0.228798   0.119442
3.625398     0.259141    0.229333   0.115027
3.631681     0.258465    0.229891   0.110553
3.637964     0.257804    0.230472   0.106020
3.644247     0.257159    0.231075   0.101430
